curbweight,cylindernumber,enginesize,boreratio,horsepower,citympg,price,price_category,is_convertible,is_rear,fueltype_gas,aspiration_turbo
2548,4,130,3.47,111,21,13495.0,1,True,False,True,False
2548,4,130,3.47,111,21,16500.0,1,True,False,True,False
2823,6,152,2.68,154,19,16500.0,1,False,False,True,False
2337,4,109,3.19,102,24,13950.0,1,False,False,True,False
2824,5,136,3.19,115,18,17450.0,1,False,False,True,False
2507,5,136,3.19,110,19,15250.0,1,False,False,True,False
2844,5,136,3.19,110,19,17710.0,1,False,False,True,False
2954,5,136,3.19,110,19,18920.0,1,False,False,True,False
3086,5,131,3.13,140,17,23875.0,1,False,False,True,True
3053,5,131,3.13,160,16,17859.167,1,False,False,True,True
2395,4,108,3.5,101,23,16430.0,1,False,False,True,False
2395,4,108,3.5,101,23,16925.0,1,False,False,True,False
2710,6,164,3.31,121,21,20970.0,1,False,False,True,False
2765,6,164,3.31,121,21,21105.0,1,False,False,True,False
3055,6,164,3.31,121,20,24565.0,1,False,False,True,False
3230,6,209,3.62,182,16,30760.0,1,False,False,True,False
3380,6,209,3.62,182,16,41315.0,1,False,False,True,False
3505,6,209,3.62,182,15,36880.0,1,False,False,True,False
1488,3,61,2.91,48,47,5151.0,0,False,False,True,False
1874,4,90,3.03,70,38,6295.0,0,False,False,True,False
1909,4,90,3.03,70,38,6575.0,0,False,False,True,False
1876,4,90,2.97,68,37,5572.0,0,False,False,True,False
1876,4,90,2.97,68,31,6377.0,0,False,False,True,False
2128,4,98,3.03,102,24,7957.0,0,False,False,True,True
1967,4,90,2.97,68,31,6229.0,0,False,False,True,False
1989,4,90,2.97,68,31,6692.0,0,False,False,True,False
1989,4,90,2.97,68,31,7609.0,0,False,False,True,False
2191,4,98,3.03,102,24,8558.0,0,False,False,True,True
2535,4,122,3.34,88,24,8921.0,0,False,False,True,False
2811,4,156,3.6,145,19,12964.0,1,False,False,True,True
1713,4,92,2.91,58,49,6479.0,0,False,False,True,False
1819,4,92,2.91,76,31,6855.0,0,False,False,True,False
1837,4,79,2.91,60,38,5399.0,0,False,False,True,False
1940,4,92,2.91,76,30,6529.0,0,False,False,True,False
1956,4,92,2.91,76,30,7129.0,0,False,False,True,False
2010,4,92,2.91,76,30,7295.0,0,False,False,True,False
2024,4,92,2.92,76,30,7295.0,0,False,False,True,False
2236,4,110,3.15,86,27,7895.0,0,False,False,True,False
2289,4,110,3.15,86,27,9095.0,0,False,False,True,False
2304,4,110,3.15,86,27,8845.0,0,False,False,True,False
2372,4,110,3.15,86,27,10295.0,0,False,False,True,False
2465,4,110,3.15,101,24,12945.0,1,False,False,True,False
2293,4,110,3.15,100,25,10345.0,1,False,False,True,False
2337,4,111,3.31,78,24,6785.0,0,False,False,True,False
1874,4,90,3.03,70,38,8916.5,0,False,False,True,False
1909,4,90,3.03,70,38,8916.5,0,False,False,True,False
2734,4,119,3.43,90,24,11048.0,1,False,False,True,False
4066,6,258,3.63,176,15,32250.0,1,False,False,True,False
4066,6,258,3.63,176,15,35550.0,1,False,False,True,False
3950,12,326,3.54,262,13,36000.0,1,False,False,True,False
1890,4,91,3.03,68,30,5195.0,0,False,False,True,False
1900,4,91,3.03,68,31,6095.0,0,False,False,True,False
1905,4,91,3.03,68,31,6795.0,0,False,False,True,False
1945,4,91,3.03,68,31,6695.0,0,False,False,True,False
1950,4,91,3.08,68,31,7395.0,0,False,False,True,False
2380,2,70,3.33,101,17,10945.0,1,False,False,True,False
2380,2,70,3.33,101,17,11845.0,1,False,False,True,False
2385,2,70,3.33,101,17,13645.0,1,False,False,True,False
2500,2,80,3.33,135,16,15645.0,1,False,False,True,False
2385,4,122,3.39,84,26,8845.0,0,False,False,True,False
2410,4,122,3.39,84,26,8495.0,0,False,False,True,False
2385,4,122,3.39,84,26,10595.0,1,False,False,True,False
2410,4,122,3.39,84,26,10245.0,0,False,False,True,False
2443,4,122,3.39,64,36,10795.0,1,False,False,False,False
2425,4,122,3.39,84,26,11245.0,1,False,False,True,False
2670,4,140,3.76,120,19,18280.0,1,False,False,True,False
2700,4,134,3.43,72,31,18344.0,1,False,False,False,False
3515,5,183,3.58,123,22,25552.0,1,False,False,False,True
3750,5,183,3.58,123,22,28248.0,1,False,False,False,True
3495,5,183,3.58,123,22,28176.0,1,False,False,False,True
3770,5,183,3.58,123,22,31600.0,1,False,False,False,True
3740,8,234,3.46,155,16,34184.0,1,False,False,True,False
3685,8,234,3.46,155,16,35056.0,1,True,False,True,False
3900,8,308,3.8,184,14,40960.0,1,False,False,True,False
3715,8,304,3.8,184,14,45400.0,1,False,False,True,False
2910,4,140,3.78,175,19,16503.0,1,False,False,True,True
1918,4,92,2.97,68,37,5389.0,0,False,False,True,False
1944,4,92,2.97,68,31,6189.0,0,False,False,True,False
2004,4,92,2.97,68,31,6669.0,0,False,False,True,False
2145,4,98,3.03,102,24,7689.0,0,False,False,True,True
2370,4,110,3.17,116,23,9959.0,0,False,False,True,True
2328,4,122,3.35,88,25,8499.0,0,False,False,True,False
2833,4,156,3.58,145,19,12629.0,1,False,False,True,True
2921,4,156,3.59,145,19,14869.0,1,False,False,True,True
2926,4,156,3.59,145,19,14489.0,1,False,False,True,True
2365,4,122,3.35,88,25,6989.0,0,False,False,True,False
2405,4,122,3.35,88,25,8189.0,0,False,False,True,False
2403,4,110,3.17,116,23,9279.0,0,False,False,True,True
2403,4,110,3.17,116,23,9279.0,0,False,False,True,False
1889,4,97,3.15,69,31,5499.0,0,False,False,True,False
